Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      602     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.00     0.00      602     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.00     0.00      602     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.00     0.00      602     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.00     0.00      602     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.00     0.00      602     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.00     0.00      602     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.00     0.00      307     0.00     0.00  __gnu_cxx::__aligned_membuf<Citizen>::_M_ptr()
  0.00      0.00     0.00      307     0.00     0.00  __gnu_cxx::__aligned_membuf<Citizen>::_M_addr()
  0.00      0.00     0.00      307     0.00     0.00  std::_List_node<Citizen>::_M_valptr()
  0.00      0.00     0.00      190     0.00     0.00  std::_List_iterator<Citizen>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00      186     0.00     0.00  std::__cxx11::list<Citizen, std::allocator<Citizen> >::end()
  0.00      0.00     0.00      185     0.00     0.00  std::operator!=(std::_List_iterator<Citizen> const&, std::_List_iterator<Citizen> const&)
  0.00      0.00     0.00      184     0.00     0.00  Citizen const& std::forward<Citizen const&>(std::remove_reference<Citizen const&>::type&)
  0.00      0.00     0.00      170     0.00     0.00  std::_List_iterator<Citizen>::operator->() const
  0.00      0.00     0.00      139     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.00     0.00      139     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00      137     0.00     0.00  Citizen::ret_ssid[abi:cxx11]()
  0.00      0.00     0.00      136     0.00     0.00  std::_List_iterator<Citizen>::operator++(int)
  0.00      0.00     0.00      104     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       93     0.00     0.00  Citizen::~Citizen()
  0.00      0.00     0.00       92     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::_M_get_Node_allocator()
  0.00      0.00     0.00       91     0.00     0.00  Citizen::Citizen(Citizen const&)
  0.00      0.00     0.00       76     0.00     0.00  Citizen::ret_zone_id[abi:cxx11]()
  0.00      0.00     0.00       51     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00       46     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Citizen> >::deallocate(std::_List_node<Citizen>*, unsigned long)
  0.00      0.00     0.00       46     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<Citizen> >::destroy<Citizen>(Citizen*)
  0.00      0.00     0.00       46     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Citizen> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00       46     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<Citizen> >::construct<Citizen, Citizen const&>(Citizen*, Citizen const&)
  0.00      0.00     0.00       46     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<Citizen> >::_M_max_size() const
  0.00      0.00     0.00       46     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<Citizen> > >::__allocated_ptr(std::allocator<std::_List_node<Citizen> >&, std::_List_node<Citizen>*)
  0.00      0.00     0.00       46     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<Citizen> > >::~__allocated_ptr()
  0.00      0.00     0.00       46     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<Citizen> > >::operator=(decltype(nullptr))
  0.00      0.00     0.00       46     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<Citizen> > >::deallocate(std::allocator<std::_List_node<Citizen> >&, std::_List_node<Citizen>*, unsigned long)
  0.00      0.00     0.00       46     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<Citizen> > >::destroy<Citizen>(std::allocator<std::_List_node<Citizen> >&, Citizen*)
  0.00      0.00     0.00       46     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<Citizen> > >::allocate(std::allocator<std::_List_node<Citizen> >&, unsigned long)
  0.00      0.00     0.00       46     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<Citizen> > >::construct<Citizen, Citizen const&>(std::allocator<std::_List_node<Citizen> >&, Citizen*, Citizen const&)
  0.00      0.00     0.00       46     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::_M_get_node()
  0.00      0.00     0.00       46     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::_M_inc_size(unsigned long)
  0.00      0.00     0.00       46     0.00     0.00  std::__cxx11::_List_base<Citizen, std::allocator<Citizen> >::_M_put_node(std::_List_node<Citizen>*)
  0.00      0.00     0.00       46     0.00     0.00  std::_List_node<Citizen>* std::__cxx11::list<Citizen, std::allocator<Citizen> >::_M_create_node<Citizen const&>(Citizen const&)
  0.00      0.00     0.00       46     0.00     0.00  void std::__cxx11::list<Citizen, std::allocator<Citizen> >::_M_insert<Citizen const&>(std::_List_iterator<Citizen>, Citizen const&)
  0.00      0.00     0.00       46     0.00     0.00  std::__cxx11::list<Citizen, std::allocator<Citizen> >::push_back(Citizen const&)
  0.00      0.00     0.00       46     0.00     0.00  std::allocator<std::_List_node<Citizen> >* std::__addressof<std::allocator<std::_List_node<Citizen> > >(std::allocator<std::_List_node<Citizen> >&)
  0.00      0.00     0.00       45     0.00     0.00  Citizen::Initial_Create(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.00     0.00       45     0.00     0.00  std::_List_iterator<Citizen>::operator*() const
  0.00      0.00     0.00       45     0.00     0.00  std::_List_iterator<Citizen>::operator++()
